chapter	segment	title
1	1	Crown Prince Udayaditya's Struggle with His Father's Expectations
1	2	Udayaditya Recounts His Past and Finds Solace in Surma
1	3	Prince Udayaditya's Sudden Departure Following a Midnight Crisis
2	1	Pratapaditya's Plan to Assassinate His Paternal Uncle
2	2	King Pratapaditya Defies the Emperor of Delhi
2	3	King Pratapaditya's Fury Over Prince Udayaditya's Disappearance
3	1	Yubaraj's Urgent Night Search for King Basanta Ray
4	1	The Musical Encounter Between Basanta Ray and Khan Saheb
4	2	Basanta Ray's Mercy Toward a Failed Assassin
4	3	Complaints to the Maharaj About a Deceitful Guide
5	1	Pratapaditya and His Minister Discuss Basanta Ray's Murder
5	2	The Tense Confrontation Between Pratapaditya and Basanta Ray
5	3	Royal Conflict and Accusations Against the Daughter-in-Law
6	1	Vibha's Distress Over Her Husband's Lack of Respect
6	2	The Playful Reunion of Vibha and Her Grand-uncle
6	3	Basanta Ray Learns About Vibha's Hidden Sorrow
6	4	Basanta Ray's Intervention for Vibha and the Royal Family
7	1	Ramai the Jester Mocks General Fernandez
7	2	Ramai's Witty Banter in the King's Royal Court
7	3	King Ramchandra's Plan to Restore His Honor
8	1	Preparations and the Arrival of Udayaditya at Jessore Palace
8	2	Ramchandra Ray's Offense at Pratapaditya's Poor Welcome
8	3	Ramchandra's Realization of Pratapaditya's Superiority
9	1	Rammohan's Visit and the Teasing of the Son-in-law
9	2	The Exposure of Ramai and the Death Sentence
10	1	Ramchandra Ray Warned to Escape Imminent Danger
10	2	Udayaditya and Basanta Ray Respond to a Family Disaster
10	3	Basanta Ray Pleads for Ramchandra Ray's Life
11	1	Desperate Attempt to Escape the Locked Inner Quarters
11	2	Prince Udayaditya Frees Maharaj Ramchandra from the Inner Quarters
11	3	Rammohan Lowers Ramchandra Ray from the Palace Roof
11	4	The Daring Rescue and Narrow Escape of Ramchandra
12	1	Pratapaditya's Rage Over the Escape of Ramchandra Ray
12	2	Basanta Ray Protects Udayaditya After a Night of Dread
12	3	Pratapaditya Interrogates Guards and Judges Prince Udayaditya
13	1	Basanta Ray's Farewell and Surma's Vow of Loyalty
13	2	Udayaditya and Surma's Final Moments With Basanta Ray
13	3	The Bittersweet Farewell and Departure of Basanta Ray
14	1	Matangini's Visit to Mangala the Village Enchantress
15	1	Udayaditya's Secret Mercy Against Royal Authority
16	1	Surma's Forced Departure from the Royal Palace
17	1	Mangala's Treachery and the Tragic Death of Surma
18	1	Grief Over Surma and Vibha's Uncertain Future
19	1	The Trial of a Culprit in King Ramchandra's Court
19	2	King Ramchandra Ray Mocking Pratapaditya and Udayaditya
19	3	Rammohan Persuades the King to Bring Back the Queen
20	1	Udayaditya's Grief and His Fear of Pratapaditya
21	1	Sitaram Borrows Money from the Wealthy Widow Rukmini
21	2	Sitaram and Rukmini's Playful Romantic Banter
21	3	Rukmini's Deceptive Visit to the Grieving Udayaditya
22	1	Bhagavat's Cunning Scheme to Regain His Palace Job
23	1	Vibha's Decision to Stay With Her Grieving Brother
23	2	Vibha's Silent Suffering and Udayaditya's Unjust Imprisonment
24	1	Rammohan Returns Alone After Vibha's Refusal
24	2	The King's Outrage and Struggle to Preserve His Honor
24	3	Ramai Bhand's Wit and the Royal Wedding Preparations
25	1	Vibha's Devotion to the Imprisoned Udayaditya
26	1	Ramchandra Ray's Letter and the Mahishi's Plea
27	1	Sitaram and Rukmini Clash Over the Imprisoned Yubaraj
27	2	Basanta Ray's Solitary Song at Sunset
27	3	Basanta Ray and Khan Saheb Share a Musical Moment
27	4	Basanta Ray Learns of Udayaditya's Imprisonment
28	1	Basanta Ray's Sorrowful Reunion with Vibha in Jessore
28	2	Basanta Ray's Earnest Plea for Uday's Release
28	3	Vibha Comforts the Dejected Basanta Ray
28	4	Basanta Ray Advises Sending Vibha to Chandradwip
29	1	Basanta Ray's Urgent Secret Departure from the Palace
29	2	Udayaditya's Unexpected Rescue from the Prison Fire
29	3	Udayaditya Escapes During a Raging Palace Fire
30	1	Udayaditya's Escape and the Tragic End of Rukmini
31	1	The Orchestrated Escape and Fake Death of the Yubaraj
32	1	Vibha's Joy and Longing to Return to Her Husband
33	1	Udayaditya's Inner Conflict and Plan to Return to Jessore
33	2	Udayaditya's Secret Farewell and Departure from Raigarh
33	3	Udayaditya's Arrest and the Order to Execute the King
33	4	The Execution of Basanta Ray by Pratap's Order
34	1	Prince Udayaditya Renounces the Throne of Jessore
35	1	Udayaditya and Vibha's Journey Toward Freedom
36	1	Vibha's Disappointment After Meeting Rammohan on the Boat
36	2	Vibha Learns of the Maharaj's New Marriage
36	3	Vibha Sets Out Dressed as a Common Woman
37	1	Vibha's Rejection by the King and Departure to Kashi
